method,x,runs,runs_completed,completion_rate_percent,completion_ci_low,completion_ci_high,uav_completion_rate_percent,collision_rate_percent,collision_ci_high,dcrit_violation_rate_percent,success_rate_percent,success_ci_low,worst_dmin_all_m,worst_dmin_completed_m,mean_dmin_all_m,mean_dmin_completed_m,ci95_dmin_completed_m,margin_to_dcrit_m,mean_elongation_completed,ci95_elongation_completed,max_elongation_completed,mean_lateral_error_completed_m,ci95_lateral_error_completed_m,max_lateral_error_completed_m,mean_lateral_rmse_completed_m,ci95_lateral_rmse_completed_m,max_lateral_rmse_completed_m,mean_max_path_deviation_completed_m,ci95_max_path_deviation_completed_m,mean_mission_time_completed_s,ci95_mission_time_completed_s,worst_mission_time_completed_s,mean_information_age_s,max_information_age_s,dmin_drop_m,dmin_drop_ci_low_m,dmin_drop_ci_high_m,degradacao,comparavel
orca_nd18,50.0,100,51,51.0,41.34784047743415,60.578169907613855,51.2,0.0,3.699480747600191,0.0,51.0,41.34784047743415,3.975314137690284,3.975314137690284,3.9969583437212033,3.994072449939996,0.0010533774126518923,-0.005927550060004005,1.0544401025264618,0.0027699674031411957,1.084926901455114,1.3671775905611707,0.038398155287217885,1.7816385079402246,1.823646443578941,0.0362180649432923,2.2234132725883953,3.7293053204912185,0.053295080502581985,172.58529411764704,8.448430311573583,271.65,0.14962982214387907,3.5999999999999996,0.005926933193705075,0.00487355577781607,0.00698031060959408,mínima,True
orca_nd26,50.0,100,83,83.0,74.45181876635702,89.10652394022685,83.0,0.0,3.699480747600191,0.0,83.0,74.45181876635702,3.982586515223664,3.982586515223664,3.995146977860915,3.994156255162641,0.0006386790347065954,-0.005843744837358944,1.0403695573830898,0.0016447438499676487,1.066227018165868,1.2930275441045032,0.020410959134983905,1.6310149823338425,1.6944112273039345,0.016829523542044426,1.9325505068054127,3.5553424254685737,0.029562869541481317,164.19939759036143,8.348407275745949,330.0,0.1497209078879726,3.75,0.005843513747306073,0.005204834708074287,0.006482192786537859,mínima,True
apf,60.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,1.0,100.0,96.30051925239981,3.945528091052462,3.945528091052462,4.859775974479894,4.859775974479894,0.06267805843785512,0.8597759744798941,1.4745317811787315,0.0137466515238153,1.743965141618282,3.9369293773588074,0.053542551710178334,4.58182136115181,5.11551754013369,0.045119341589576534,5.58009953557892,8.667829997230614,0.0485000272175471,156.255,2.8597062357897807,202.35,0.22424465281536554,4.35,0.15308475536267263,0.06668414210584273,0.23948536861950254,relevante,True
orca_nd08,60.0,100,29,28.999999999999996,21.014706973984147,38.539074940007936,30.4,0.0,3.699480747600191,0.0,28.999999999999996,21.014706973984147,3.9598560642886116,3.9598560642886116,3.99073797496061,3.98863727989588,0.002847363092329647,-0.011362720104119983,1.0832292917899708,0.004051536666090216,1.1106838490403121,1.4635833145922874,0.046646832021724725,1.7036908847194472,1.8500179091091342,0.03730705105642422,2.0487282340547672,3.815615293134228,0.05171056976689489,302.4362068965517,45.11089526962008,826.35,0.2247615771058981,4.5,0.01135937424974065,0.00851200996624898,0.014206738533232321,mínima,False
orca_nd18,60.0,100,58,57.99999999999999,48.20630799889527,67.2017750814887,58.0,0.0,3.699480747600191,0.0,57.99999999999999,48.20630799889527,3.9821272715309655,3.9821272715309655,3.9957639843166923,3.9928132538272485,0.000952172577059422,-0.007186746172751501,1.0559063864026614,0.0024088671909394312,1.0747780341153441,1.368709592115211,0.045634770368515334,2.0512380983229432,1.8088331958777608,0.03530610732019114,2.2236172583121,3.717833439203491,0.04975785480558442,198.67499999999998,24.126793583328926,660.0,0.22452311052528517,4.5,0.007186129306452571,0.006233956725784602,0.00813830188712054,mínima,True
orca_nd26,60.0,100,80,80.0,71.11690380734977,86.66340774409012,80.1,0.0,3.699480747600191,0.0,80.0,71.11690380734977,3.9687421767603066,3.9687421767603066,3.9930440069367945,3.9913346045040576,0.001248295683451505,-0.008665395495942363,1.042080208044569,0.0017801953291147008,1.0686716176340278,1.2787936941366618,0.023214661921617318,1.6351564053309375,1.6872378716322338,0.02192872933716717,2.0263087424039186,3.541157445948342,0.0444177897904435,164.308125,9.427100318203632,373.95,0.22451492901978642,4.5,0.008665164405889492,0.007416868720125769,0.009913460091653213,mínima,True
apf,70.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.194525678376434,4.194525678376434,4.857228988279373,4.857228988279373,0.058804139987754724,0.8572289882793731,1.5064812567924246,0.017324695290363124,1.9649195582227503,3.977567329542218,0.048558795057998615,4.665018784548303,5.142862484488212,0.03915818563290528,5.629371236188561,8.627056769236846,0.04312885879792897,159.513,3.1816482480209287,249.0,0.34869106701661334,6.3,0.1556317415631936,0.07196496840352953,0.23929851472285765,relevante,True
orca_nd08,70.0,100,31,31.0,22.779563206132377,40.62623947795569,32.5,0.0,3.699480747600191,3.0,31.0,22.779563206132377,3.938716382831506,3.938716382831506,3.980967603927991,3.9762864633649526,0.0054838149871462545,-0.023713536635047383,1.0762052269010731,0.0028766577717864103,1.087715752225846,1.405826790693354,0.041185894973797474,1.683929492741997,1.8129653046917953,0.039482221901394714,2.0617679565540863,3.713862838313869,0.07434471594530917,256.51451612903224,15.219788351072232,388.2,0.34964777564684846,7.35,0.02371019078066805,0.018226375169380235,0.029194006391955865,mínima,True
orca_nd18,70.0,100,54,54.0,44.264685393523855,63.439356146668146,54.4,0.0,3.699480747600191,0.0,54.0,44.264685393523855,3.9518854764981244,3.9518854764981244,3.99291406639965,3.9870639905948173,0.0025791574993505365,-0.012936009405182691,1.0535290443494165,0.0019223797233935754,1.0681743108768007,1.323404001017872,0.03995642353870677,1.8435070181104636,1.754321492937092,0.030604596366401376,2.0710787057801356,3.6664263715012733,0.04318934559770315,210.2888888888889,37.37327435333247,963.15,0.34929243705488183,6.45,0.012935392538883761,0.010356235038206436,0.015514550039561086,mínima,True
orca_nd26,70.0,100,92,92.0,85.00173312059694,95.89070305141891,92.0,0.0,3.699480747600191,1.0,92.0,85.00173312059694,3.946409285399469,3.946409285399469,3.98892255377898,3.9879598290803955,0.0019706926833374517,-0.01204017091960452,1.0436221844385971,0.0015286928335514168,1.0684787662348525,1.2690365231286846,0.022661455979489924,1.7934527557380755,1.6764982780867481,0.022548081640355308,2.152812075548423,3.56808579155124,0.03761053699452116,171.07989130434783,9.006911935130706,410.4,0.34896317667649235,6.45,0.012039939829551649,0.010069247144742638,0.01401063251436066,mínima,True
