run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,conflict_waypoint_visitation_radius_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,emergency_shares_full_route,communication_period_steps,communication_period_s,communication_frequency_hz,communication_delay_steps,communication_delay_s,configured_packet_loss_probability,transmitted_packets,application_payload_total_bytes,mean_packet_payload_bytes,maximum_packet_payload_bytes,aggregate_application_bandwidth_kbps,mean_uav_application_bandwidth_kbps,maximum_uav_application_bandwidth_kbps,receiver_delivery_attempts,receiver_dropped_packets,receiver_delivered_packets,observed_receiver_packet_loss_ratio,mean_information_age_s,maximum_information_age_s,localization_sigma_xy_m,localization_sigma_z_m,mean_rms_acceleration_m_s2,mean_conflict_rms_acceleration_m_s2,theoretical_max_speed_m_s,maximum_observed_speed_m_s,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
37,1037,2,True,1009,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4036,359532,89.0812685827552,273,19.00400396432111,4.751000991080278,7.289752229930625,12108,0,12108,0.0,0.0,0.0,0.0,0.0,0.6064950233352004,1.9561271598788423,0.4301162633521313,0.4301162633521314,5.954876444845328,D1-D2,475,1.0,False,0.6736512220233264,1.203727724771798,3.1691399446426214,6.9233521500609125,1.0848714237175598,4,4
38,1038,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358368,89.14626865671642,273,19.01787064676617,4.7544676616915424,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.596057291291593,1.9321569845811482,0.4301162633521313,0.4301162633521314,5.990193192670643,D1-D2,474,1.0,False,0.6832887271058851,1.2236158069986693,3.20880272416261,6.908145442077609,1.0806900162006081,4,4
39,1039,2,True,1013,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4052,359688,88.7680157946693,273,18.937176702862782,4.734294175715696,7.265389930898323,12156,0,12156,0.0,0.0,0.0,0.0,0.0,0.6075092015250392,1.9773812794858079,0.4301162633521313,0.4301162633521314,5.926474435733399,D1-D2,476,1.0,False,0.6651884925049738,1.1870423985382332,3.1352413744927383,6.913055715656014,1.083165738706501,4,4
40,1040,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358704,89.22985074626865,273,19.035701492537314,4.758925373134328,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.6076765952433704,1.958028656292194,0.4301162633521313,0.4301162633521314,6.003480348679479,D1-D2,473,1.0,False,0.6859720249022547,1.2269669431222798,3.2038765746639726,6.904405380283455,1.0830674423341502,4,4
41,1041,2,True,1010,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4040,359496,88.98415841584159,273,18.983287128712874,4.745821782178218,7.283643564356436,12120,0,12120,0.0,0.0,0.0,0.0,0.0,0.6030631604771138,1.9501190270914632,0.4301162633521313,0.4301162633521314,5.948100434376454,D1-D2,475,1.0,False,0.6724711867866167,1.1999114531641133,3.153115885601843,6.899881000670509,1.0838912590115706,4,4
42,1042,2,True,1003,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4012,358344,89.31804586241276,273,19.05451645064806,4.763629112662015,7.32666001994018,12036,0,12036,0.0,0.0,0.0,0.0,0.0,0.6044031069724578,1.9506206578277157,0.4301162633521313,0.4301162633521314,6.008892642211165,D1-D2,474,1.0,False,0.6900673331382174,1.2331662700704604,3.2259723130695583,6.909503412789369,1.08254797237015,4,4
43,1043,2,True,1004,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4016,358200,89.19322709163346,273,19.02788844621514,4.756972111553785,7.320478087649402,12048,0,12048,0.0,0.0,0.0,0.0,0.0,0.5824598189728328,1.880370726350041,0.4301162633521313,0.4301162633521314,6.00376260268213,D1-D2,474,1.0,False,0.6856755198054175,1.2263201041037446,3.222888510286896,6.909614434057158,1.080389576385485,4,4
44,1044,2,True,1010,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4040,359568,89.00198019801981,273,18.98708910891089,4.7467722772277225,7.283643564356436,12120,0,12120,0.0,0.0,0.0,0.0,0.0,0.6167745589030706,1.9919382170763007,0.4301162633521313,0.4301162633521314,5.973833763989949,D1-D2,474,1.0,False,0.6763079009574551,1.211379101175051,3.1747842978721135,6.890783276080486,1.0845283016055294,4,4
45,1045,2,True,1009,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4036,359004,88.95044598612488,273,18.97609514370664,4.74402378592666,7.289752229930625,12108,0,12108,0.0,0.0,0.0,0.0,0.0,0.5939580555359718,1.9333052282202088,0.4301162633521313,0.4301162633521314,5.962525774423101,D1-D2,475,1.0,False,0.6735307161231123,1.203884417905548,3.1762710010892565,6.913518958306073,1.0818252860293496,4,4
46,1046,2,True,1007,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4028,359100,89.15094339622641,273,19.018867924528305,4.754716981132076,7.302005958291957,12084,0,12084,0.0,0.0,0.0,0.0,0.0,0.6005693033221101,1.9369707211822473,0.4301162633521313,0.4301162633521314,5.975959394480649,D1-D2,474,1.0,False,0.679410072881547,1.214322955605272,3.193048247059724,6.924819589124151,1.0834965423428842,4,4
